Station_Name,Lon,Lat,Alti,Time,TEM_Avg
﻿芒信,99.58,22.16,937,2020/01/01,15.8
﻿圈内,100.1,23.62,1646,2020/01/01,10.9
﻿炼铁乡,99.8,25.99,2042,2020/01/01,8
﻿莫里农场,97.78,24,816,2020/01/01,14.7
﻿勐邦水库,100.28,21.92,1258,2020/01/01,15.5
﻿新庄,101.19,26.58,1215,2020/01/01,11.7
﻿澜沧,99.93,22.57,1054.8,2020/01/01,15.7
﻿祥城镇,100.6,25.54,2012,2020/01/01,9.9
﻿德苴,100.43,25.23,1798,2020/01/05,12.2
﻿金塘,102.99,26.78,710.2,2020/01/01,17.9
﻿双龙乌龙,102.85,25.11,2154,2020/01/01,9.5
﻿景讷,100.77,22.44,939,2020/01/01,16.6
﻿平山,97.77,24.38,1449,2020/01/01,10.1
﻿新街,100.46,25.38,1696,2020/01/01,10.1
﻿磨味小学,101.64,23.73,1950,2020/01/01,12.3
﻿俄扎,102.57,22.95,1306,2020/01/01,15.3
﻿红岩,100.42,25.35,1750,2020/01/01,11.3
﻿永康,99.46,24.11,843,2020/01/01,14.5
﻿牛寨站,104.37,28.12,1104,2020/01/01,5.5
﻿柳井乡,104.31,23.21,1426,2020/01/01,15.4
﻿耇街,99.8,24.99,2146,2020/01/01,10.7
﻿者米,102.69,22.78,720,2020/01/01,18.9
﻿三腊电站,105.51,23.75,921,2020/01/01,15.5
﻿尼鲊,102.07,23.93,1689,2020/01/01,13.7
﻿桃苴,101.73,26.17,1660,2020/01/01,11.9
﻿江边,101.88,25.96,980,2020/01/01,16.3
﻿新厂,99.48,22.85,1339,2020/01/01,14.7
﻿力所,99.46,22.66,1435,2020/01/01,14.8
﻿坝美,105.07,24.26,859,2020/01/01,15.1
﻿勐满四分场,101.22,21.4,576,2020/01/07,20.4
﻿大庄,101.83,24.73,1443,2020/01/01,11.3
﻿大兴乡,99.8,23.8,1934,2020/01/01,12.1
﻿禄裱滑石板村,102.2,25.09,2195,2020/01/01,9.7
﻿宁洱隧道,101.15,23.09,1545,2020/01/01,13.1
﻿红桥,100.8,27.43,2452,2020/01/01,3.6
﻿雨花办事处,102.83,24.84,1924,2020/01/01,11.9
﻿木杆站,103.97,28.15,1190,2020/01/01,5.6
﻿岔科,103.05,23.88,1350,2020/01/01,14.4
﻿坡头,102.86,23.38,1779,2020/01/01,12
﻿大哨,102.12,23.73,1975,2020/01/01,13.1
﻿固东,98.49,25.36,1707,2020/01/01,8.9
﻿虎跳峡,100.03,27.2,1945,2020/01/01,6.7
﻿月望,103.63,25.34,2081.4,2020/01/01,9.8
﻿团结,99.57,23.29,1802,2020/01/01,11.7
﻿河尾,102.01,24.61,1968,2020/01/01,12.1
﻿乌龙,103.1,26.03,1490.2,2020/01/01,15.4
﻿龙泉村,102.92,25.62,2390,2020/01/01,8
﻿大村,102.99,24.5,1892,2020/01/01,12.3
﻿古林箐,103.96,22.81,1454,2020/01/02,14.2
﻿朵美乡,100.38,26.17,1256,2020/01/01,13.4
﻿大过口,101.15,24.88,1920,2020/01/01,9.4
﻿尼西,99.5,28.05,3135,2020/01/01,0.6
﻿曼岗,100.35,23.96,822,2020/01/01,13.2
﻿螺丝塘,103.39,24.95,2033,2020/01/01,11.6
﻿黎明,101.45,22.78,1158,2020/01/01,15.3
﻿小密枝,103.32,24.93,1944,2020/01/01,12
﻿洼垤,102.28,23.55,1450,2020/01/01,15.5
﻿屏山镇旧铁厂水库,102.39,25.66,2273,2020/01/01,8.9
﻿景哈,100.9,21.84,560,2020/01/01,18.9
﻿凤云村,100.17,24.98,1499.3,2020/01/01,13.3
﻿莲峰,103.59,27.68,2225,2020/01/01,3.8
﻿泸西,103.77,24.53,1704.3,2020/01/01,12.5
﻿翠华,102.58,25.63,1710,2020/01/01,10.8
﻿糯扎渡,100.27,22.59,1170,2020/01/01,15.5
﻿永丰,103.67,27.25,1914,2020/01/01,9
﻿宜良耿家营,103.4,25.03,1737,2020/01/01,12.8
﻿江底,103.6,27.01,1462,2020/01/01,12.7
﻿者拉,101.95,24.54,2080,2020/01/01,11.3
﻿韩所,102.19,24.7,1577,2020/01/01,11.8
﻿大浪坝水库,99.61,23.63,1840,2020/01/10,12.2
﻿江城白家营,102.75,24.46,1828,2020/01/01,11.2
﻿十里,102.76,25.03,1967,2020/01/01,12.2
﻿南洒,102.09,23.51,576,2020/01/01,19.6
﻿翁堵,99.55,24.71,1457,2020/01/01,10.9
﻿建水,102.83,23.62,1309.3,2020/01/01,16.1
﻿龙潭,104.01,26.41,1870,2020/01/01,9.5
﻿嘎洒,100.77,21.97,555,2020/01/01,18.9
﻿荷花,98.4,24.98,1313,2020/01/01,10.9
﻿曩宋,98.37,24.88,1056,2020/01/01,13
﻿德化,100.87,23,1333,2020/01/01,13.6
﻿十里村,102.76,24.65,1922,2020/01/01,11.4
﻿栗树,100.41,24.23,1602,2020/01/01,17.5
﻿帽天山,102.98,24.66,2029,2020/01/01,12
﻿曰者,104.01,24.17,1462,2020/01/01,13.7
﻿楼坝,104.35,28.56,335,2020/01/01,10.1
﻿青树,101.63,23.96,1040,2020/01/01,17
﻿滑坡,102.3,25.51,2307,2020/01/01,9
﻿向阳,103.89,24.49,2029,2020/01/01,10.9
﻿大营,102.52,25.23,1706,2020/01/01,12.4
﻿田坪,101.19,26.7,1703,2020/01/01,11.7
﻿果珠,104.99,27.61,1307,2020/01/01,4.9
﻿中闸,102.74,24.98,1923,2020/01/01,12.9
﻿剑川象图,99.55,26.3,2500,2020/01/01,5.6
﻿猫街,102.15,25.53,2022,2020/01/01,8.6
﻿大理镇阳和,100.16,25.67,2165,2020/01/01,8.4
﻿团结站,103.85,28.21,607,2020/01/01,9.4
﻿云岭,98.87,28.32,2280,2020/01/01,6.5
﻿白龙村,103.33,25.82,2152,2020/01/01,9.7
﻿西布河,100.79,27,2200,2020/01/01,5.5
﻿小板桥,102.77,24.98,1917,2020/01/01,12.6
﻿四楞坝,98.91,24.04,1133,2020/01/01,13.2
﻿迁营,100.42,23.43,1116,2020/01/01,13.6
﻿东旺,99.68,28.58,2480,2020/01/01,6.2
﻿瓦房,99.07,25.37,1786,2020/01/01,9.9
﻿大街,101.04,24.35,1395,2020/01/01,12
﻿乐居,103.59,27.36,1930,2020/01/01,6.6
﻿青龙学校,102.32,25.02,1830,2020/01/01,8.9
﻿八布,104.89,23.23,506,2020/01/01,18.5
﻿大寺茶叶,99.89,24.7,1720,2020/01/01,10.8
﻿都龙,104.52,22.91,1313,2020/01/01,14.6
﻿黄明,100.38,27.68,2373,2020/01/01,8.1
﻿三角水库,103.6,24.7,2113,2020/01/01,10.4
﻿勐马,99.38,22.24,926.3,2020/01/01,15.6
﻿二街廉租房,102.48,24.7,1930,2020/01/01,9.5
﻿中屯,101.48,25.39,1885,2020/01/01,9.2
﻿南岛河咖啡,101.01,22.61,1070,2020/01/01,15.6
﻿班岭口岸,97.63,24.01,860,2020/01/01,13.7
﻿宣威,104.08,26.22,1984.2,2020/01/01,11.3
﻿小湾镇,100.08,24.67,1550,2020/01/01,13.4
﻿垭口村,100.85,24.57,1786,2020/01/01,11.8
﻿银桥,100.13,25.76,1993,2020/01/01,9.8
﻿俄罗村,97.71,23.9,741,2020/01/01,14.5
﻿八街车木河水库,102.36,24.62,1958,2020/01/01,9.6
﻿石板,101.69,25.45,1880,2020/01/01,10.4
﻿木戛,99.63,22.99,1326,2020/01/01,13.3
﻿化桃箐,103.4,25.7,2053,2020/01/01,9.7
﻿永平,100.32,23.6,1107,2020/01/01,12.8
﻿林家铺子,98.7,25.29,2165,2020/01/01,6.9
﻿六合乡,100.33,26.4,1852,2020/01/01,7.3
﻿杨家湾村,103.08,25.88,2099,2020/01/01,8.6
﻿东峨,101.87,23.71,775,2020/01/01,18.4
﻿白石镇,99.43,26.19,2128,2020/01/01,6.1
﻿勐罕镇,100.93,21.85,545,2020/01/01,20.5
﻿基诺,101,22.04,896,2020/01/01,17.1
﻿金马,103.75,24.63,1773,2020/01/01,11.8
﻿草铺王家滩村,102.32,24.89,1800,2020/01/01,9.2
﻿石羊,101.1,25.85,1507,2020/01/01,9.9
﻿前卫小学,103.35,25.3,1712,2020/01/01,9.8
﻿河西 ,99.38,26.87,2098,2020/01/01,5.6
﻿苏海,102.87,25.29,1990,2020/01/01,9.8
﻿勐腊一区场部,101.67,21.42,701,2020/01/01,19.8
﻿木老元,99.32,24.72,1760,2020/01/01,11.2
﻿舍块村委会,102.83,26.24,1884,2020/01/01,13.1
﻿河外,98.88,23.55,1340,2020/01/01,12.4
﻿团结大兴,102.56,25,2100,2020/01/01,9
﻿永平,100.32,23.33,1328,2020/01/01,13
﻿铜厂,102.03,24.72,2125,2020/01/01,8.9
﻿水寨,99.33,25.25,2292,2020/01/01,7.7
﻿国庆,101.87,22.64,1140,2020/01/01,14.9
﻿瑶区新山,101.52,21.85,1303,2020/01/01,16.1
﻿绿溪村,102.31,24.49,1928.7,2020/01/01,9.9
﻿博厚,101.08,26.13,2435,2020/01/01,7.4
﻿仁和,101.02,26.47,1340,2020/01/01,11.6
﻿弄巴水库,99.47,23.56,1138,2020/01/01,13.5
﻿羊拉乡,99.08,28.95,3107,2020/01/01,2
﻿羊拉铜矿,99.12,28.92,2908,2020/01/01,4.5
﻿曼歇坝隧道,100.94,22.75,1286,2020/01/01,15.7
﻿倘甸,102.91,25.75,2149,2020/01/01,8.7
﻿碧溪乡,100.3,24.92,2293,2020/01/01,9
﻿芒棒,98.4,24.42,899,2020/01/01,13.7
﻿遮放农场,98.18,24.2,827,2020/01/01,14.6
﻿雄壁,103.82,24.87,2111,2020/01/01,11
﻿春和,102.53,24.4,1646,2020/01/01,13.3
﻿希望,102.52,25.77,1795,2020/01/01,8.9
﻿那澜,100.57,22.57,758,2020/01/01,17.9
﻿太忠,100.94,24.5,1435,2020/01/01,11.6
﻿芒艾,99.26,23.65,838,2020/01/01,15.8
﻿天保,104.84,22.94,138,2020/01/01,20.4
﻿畹町工委,98.05,24.08,835,2020/01/01,14.8
﻿宝秀,102.58,23.52,1440,2020/01/01,14
﻿布能村,103.01,25.32,1938,2020/01/01,10.9
﻿火德红,103.47,27.04,2322,2020/01/01,8.5
﻿菌子山,104.15,24.64,2400,2020/01/01,10.5
﻿麻栗坡,104.7,23.13,1093.4,2020/01/01,15.3
﻿马鸣,103.38,25.28,2021,2020/01/01,10.9
﻿腾冲,98.51,24.98,1695.9,2020/01/01,9.4
﻿大街,102.75,24.29,1732,2020/01/01,13.1
﻿新营盘,101.82,24.14,2020,2020/01/01,12.2
﻿老乐业,103.47,26.62,1878,2020/01/01,10.3
﻿锡矿,98.25,24.9,2540,2020/01/01,10.1
﻿勐满三区,101.25,21.31,759,2020/01/01,19
﻿石寨村,102.69,24.72,1893,2020/01/01,12
﻿永平水泄,99.71,25.2,1689.3,2020/01/01,11.2
﻿卡斯,99.41,24.8,934,2020/01/01,14.1
﻿响水坝,103.82,25.18,1855,2020/01/01,11.2
﻿丙拐村,100.58,24.27,2055,2020/01/01,10.7
﻿铁锁,100.95,26.12,1930,2020/01/01,9.4
﻿方旺社区,102.79,25.03,1962,2020/01/01,11.5
﻿九龙,102.77,25.73,2072,2020/01/01,8.3
﻿三百亩村,102.83,24.49,2050,2020/01/01,11.4
﻿大哨,102.97,25.43,2543,2020/01/01,6.7
﻿永善,103.62,28.24,975.6,2020/01/01,8.3
﻿五珠,104.69,23.8,1622,2020/01/01,12.7
﻿帕亮,99.47,22.28,1377,2020/01/01,15
﻿开远,103.29,23.72,1195.5,2020/01/01,17.3
﻿团结,99.36,23.54,1229,2020/01/01,13.4
﻿磨黑,101.15,23.15,1226,2020/01/01,13.8
﻿和平,103.26,25.5,1866,2020/01/01,11.2
﻿太平水库,103.53,24.45,1583,2020/01/01,13.2
﻿一寨两国旅游气象站,97.8,23.96,751,2020/01/01,14.4
﻿龙街,100.86,24.62,1416,2020/01/01,10.8
﻿东门,102.75,24.71,1910,2020/01/01,12.2
﻿宝华,102.37,23.29,1683,2020/01/01,14.7
﻿石林,103.26,24.75,1695.8,2020/01/01,13.2
﻿县街小箐口村,102.35,24.8,1963,2020/01/01,9.7
﻿施甸,99.18,24.73,1471.2,2020/01/01,12.2
﻿宾居镇 ,100.51,25.69,1539,2020/01/01,12.6
﻿王三屯,103.72,25.54,1860,2020/01/01,10.7
﻿糯良,99.33,23.24,1645.8,2020/01/01,10.3
﻿力角镇,100.59,25.93,1467,2020/01/01,12.9
﻿旧圃,103.66,27.39,1900,2020/01/01,7.2
﻿尹武村,103.43,25.81,1935,2020/01/01,10.7
﻿双龙集贸市场,103.27,24.76,1679,2020/01/01,13.6
﻿官渡区一中,102.75,24.96,1891,2020/01/01,12.3
﻿漫湾,100.45,24.58,955,2020/01/01,16.6
﻿格朗和,100.57,21.86,1415,2020/01/01,14.7
﻿竹园,103.41,24.11,1176,2020/01/01,16.6
﻿拉线,97.8,24.26,913,2020/01/01,13.1
﻿马嘎村,103.19,25.72,2350,2020/01/01,8.5
﻿牛街,102.44,23.45,1670,2020/01/01,13.8
﻿大平掌,99.73,22.61,1572,2020/01/01,13.4
﻿杉树,104.44,27.68,1204,2020/01/01,7.7
﻿草甸,103.05,24.87,1884,2020/01/01,12.8
﻿发窝,102.29,25.88,2213,2020/01/01,7
﻿鸭子塘水库,100.18,24.01,2190,2020/01/01,8.5
﻿文新大道,104.24,23.38,1271,2020/01/01,16.7
﻿葵山,103.8,24.77,1854,2020/01/01,11
﻿柯渡新沙,102.86,25.49,1915,2020/01/01,9.5
﻿小坝,104.53,25.51,1577.1,2020/01/01,12.2
﻿银桥镇双阳,100.12,25.72,2180,2020/01/01,8.5
﻿凤庆,99.93,24.58,1569,2020/01/01,11.9
﻿板蚌,105.47,23.92,490,2020/01/01,17.8
﻿川街,102.07,24.97,1579,2020/01/01,11.9
﻿振太,100.66,23.94,1544,2020/01/01,12
﻿卡机村委会,102.79,26.03,2308,2020/01/01,10
﻿宰割村,103.1,25.04,2255,2020/01/01,9.4
﻿勐腊二区场部,101.58,21.43,643,2020/01/01,18.3
﻿元江,101.97,23.63,506.8,2020/01/01,20.2
﻿遮奈,100.05,24.07,1184,2020/01/01,13.9
﻿大可,103.23,24.6,1692,2020/01/01,13.2
﻿安化三家,102.66,24.37,1753,2020/01/01,10
﻿塔城,99.56,27.49,1914,2020/01/01,6.5
﻿纲纪村,103.35,25.78,2089,2020/01/01,10.8
﻿寻甸甸沙海尾,103.11,25.62,2196,2020/01/01,9.4
﻿弥兴,101.15,25.4,1928,2020/01/01,8
﻿崇溪,103.13,26.86,2408,2020/01/01,9.2
﻿罗溪村,100.75,25.33,1697,2020/01/01,10.4
﻿翁嘎科,99.47,22.52,1318,2020/01/01,14.2
﻿凤仪水库,102.36,24.67,1953,2020/01/01,10.3
﻿曲江,102.79,23.95,1361,2020/01/01,13.7
﻿晓街,100.25,24.35,1305.5,2020/01/01,15
﻿屏边,103.68,22.98,1414.1,2020/01/01,13.9
﻿永宁,100.64,27.74,2723,2020/01/01,3.9
﻿梅子,101.15,23.52,1067,2020/01/01,14
﻿章驮,99.95,23.97,1768,2020/01/01,11.5
﻿向阳站,101.39,24.36,1436,2020/01/01,13.3
﻿白云,103.8,23.17,1809,2020/01/01,12.5
﻿大箐,103.15,25.19,2046,2020/01/01,10.7
﻿宝峰,102.55,24.55,1947,2020/01/01,10.8
﻿阿旺,103.25,25.92,1479,2020/01/01,15.7
﻿姜驿,101.91,26.07,1900,2020/01/01,11.9
﻿贡山,98.67,27.75,1583.3,2020/01/01,7.6
﻿子里甲 ,98.89,26.72,1173,2020/01/01,9.9
﻿祥瑞选厂,98.55,25.79,2246,2020/01/01,5.5
﻿老里箐,102.95,24.32,1880,2020/01/01,11.2
﻿中和营,103.64,23.78,1492,2020/01/01,14.4
﻿糯木,104.24,25.38,1835,2020/01/01,11.4
﻿永平北斗,99.69,25.54,1895,2020/01/01,8
﻿桃孔,101.96,24.11,1666,2020/01/01,13.8
﻿玉苗农气,102.64,24.44,2038,2020/01/01,9.5
﻿乐丰,104.4,26.52,2014,2020/01/01,8.8
﻿富有村,102.77,24.74,1900,2020/01/01,12
﻿甸尾,103.44,25.11,1851,2020/01/01,10.5
﻿洱源乔后,99.76,26.08,1830,2020/01/01,7.9
﻿大坡,103.66,25.68,2008.9,2020/01/01,10
﻿大寨,102.92,27.23,1359,2020/01/01,14.3
﻿水田,103.33,23.13,1735,2020/01/01,15.1
﻿田坝,104.45,26.17,1757,2020/01/01,11.8
﻿邦丙,99.85,23.26,1656,2020/01/01,13.9
﻿双江,99.8,23.47,1044.1,2020/01/01,14.7
﻿乌龙园子村,103.07,26.03,1987,2020/01/01,10.6
﻿黑树,105.21,27.47,1625,2020/01/01,5
﻿平河,102.51,22.82,1384,2020/01/01,16.1
﻿鲁史茶马古道,100,24.85,1830,2020/01/01,11.1
﻿桧溪站,103.88,28.33,547,2020/01/01,10.9
﻿小屯立交,102.67,25.07,1917,2020/01/01,12.2
﻿曼晃,97.88,24.29,949.8,2020/01/01,13
﻿亚练,99.56,24.23,1330,2020/01/01,13.5
﻿龙庆,104.08,24.55,1662,2020/01/01,11
﻿华星,101.53,25.28,1762,2020/01/01,10
﻿宝山,100.43,27.42,2222,2020/01/01,8.1
﻿己衣,102.25,26.1,1892,2020/01/01,12.1
﻿散旦,102.66,25.3,1780,2020/01/01,10
﻿坡脚,104.3,23.12,1370,2020/01/01,15.1
﻿芷村,103.54,23.34,1641,2020/01/01,13.6
﻿石头寨,102.5,23.24,1702,2020/01/01,14.8
﻿西盟,99.64,22.64,1245.4,2020/01/01,15.3
﻿塔甸,102.16,24.25,1789,2020/01/01,12.1
﻿雅邑,101.75,23.24,845,2020/01/01,16.6
﻿七星,103.33,25.53,1890,2020/01/01,11.3
﻿坝心,102.63,23.65,1413,2020/01/01,14.2
﻿富民新村,101.72,24.84,1562,2020/01/01,9.7
﻿清水塘,103.35,24.79,1829,2020/01/01,12.1
﻿拉伯,100.45,27.74,2262,2020/01/01,7.9
﻿杨柳井,105.27,23.92,1261,2020/01/01,15.3
﻿芒棒,98.67,24.94,1501,2020/01/01,10.9
﻿南雅,99.54,22.39,1422,2020/01/01,15.4
﻿曼景,101.11,21.91,767,2020/01/02,18.1
﻿勐片村,100.66,24.3,1286,2020/01/01,12.3
﻿九溪,102.66,24.28,1762,2020/01/01,10.8
﻿乐育,102.33,23.33,1510,2020/01/01,14.2
﻿苍文村,100.64,24.1,1982,2020/01/01,11.2
﻿勐捧,101.31,21.45,570,2020/01/01,19.6
﻿剑川,99.91,26.54,2191.4,2020/01/01,6
﻿逸圃,103.72,24.47,1780,2020/01/01,13.1
﻿东风四区,100.72,21.63,631,2020/01/01,19.1
﻿架科底 ,98.89,26.76,1144,2020/01/01,10
﻿马关,104.4,23.02,1332.9,2020/01/01,15.3
﻿昆岗村,101.08,24.34,1948,2020/01/01,11.2
﻿撇罗村,101.15,24.29,1838,2020/01/01,12.4
﻿洛党镇,100.03,24.52,1440,2020/01/01,12.8
﻿园艺场站,101.78,23.83,489,2020/01/01,18.6
﻿珠街,103.87,25.5,2000,2020/01/01,11.7
﻿黄坪镇,100.25,26.1,1487,2020/01/02,12.3
﻿和平,101.42,23.93,1739,2020/01/01,13.5
﻿芳华,103.68,25.17,1878,2020/01/01,10.4
﻿岔河,102.26,24.26,1432,2020/01/01,11.5
﻿鲁甸,103.56,27.19,1952.2,2020/01/01,8.9
﻿太平,104.23,28.55,536,2020/01/01,9
﻿中枢,103.67,25.04,1841,2020/01/01,11.9
﻿沿江,103.85,25.47,1870,2020/01/01,11.8
﻿区气象局,102.7,25.94,1891,2020/01/01,12.1
﻿花甲,105.61,23.86,1180.2,2020/01/01,15.1
﻿漭水,99.7,24.91,1720,2020/01/01,9.7
﻿羊坪,100.83,26.74,2603,2020/01/01,4.4
﻿猛虎,101.57,26.09,1700,2020/01/01,10.8
﻿永德,99.23,24.03,1606.2,2020/01/01,12.6
﻿邦迈站,101.52,24.1,1012,2020/01/01,16.8
﻿薛旗,103.87,25.22,1876,2020/01/01,11.4
﻿永仁,101.66,26.04,1589.4,2020/01/01,12
﻿昆玉高速余家海站,102.65,24.66,1970,2020/01/01,11.9
﻿茈碧湖镇,99.95,26.14,2070,2020/01/01,8.1
﻿大安,100.49,26.76,2558,2020/01/01,6
﻿拥翠乡,100.07,24.15,2115,2020/01/01,10.2
﻿嗄娘,102.92,23.11,1732,2020/01/01,13.4
﻿羊岔街,101.77,23.67,2148,2020/01/01,11.1
﻿青龙哨村,102.34,24.96,1880,2020/01/01,9.3
﻿云龙功果,99.23,25.76,1332,2020/01/01,11.4
﻿炎山,103.21,27.48,1932,2020/01/01,7.8
﻿马街中路,102.64,25.03,1907,2020/01/01,12.5
﻿江城桐关,102.79,24.48,1842,2020/01/01,11.5
﻿阿子营牧羊,102.84,25.4,2162,2020/01/01,7.9
﻿温泉官庄村,102.39,24.99,1834,2020/01/01,8.1
﻿盐津,104.24,28.11,448.8,2020/01/01,10.2
﻿富东,100,23.12,2030,2020/01/01,11.3
﻿护国站,102.71,25.05,2000,2020/01/01,12.8
﻿雪林,99.56,23.03,1795,2020/01/01,12.6
﻿蒲川,98.57,24.72,1386,2020/01/01,11.3
﻿前卫,102.73,24.33,1657,2020/01/01,12.4
﻿八街相连村,102.31,24.63,2091,2020/01/01,10.6
﻿银水箐村,102.94,26.08,2431,2020/01/01,9.3
﻿兰坪,99.41,26.44,2344.9,2020/01/01,4.5
﻿陇川,97.78,24.17,990.8,2020/01/01,13.4
﻿宜次,101.38,24.81,1862,2020/01/01,10.1
﻿西三,103.42,24.5,1604,2020/01/01,10.4
﻿绿汁,101.96,24.68,1230,2020/01/01,13.6
﻿凤尾,99.02,23.89,859,2020/01/01,14.6
﻿盘江,103.83,25.75,1948,2020/01/01,10.4
﻿勐满七分场,101.3,21.29,658,2020/01/01,19.3
﻿塔城,99.38,27.61,2247,2020/01/01,4.5
﻿狮子山,102.06,24.86,1670,2020/01/01,11.5
﻿沙拉村,100.71,24.72,1480,2020/01/01,12
﻿娜姑镇,103.15,26.52,2022,2020/01/01,11.4
﻿浦贵,101.93,23.44,1680,2020/01/01,15.5
﻿马金铺,102.8,24.78,1911,2020/01/01,10.9
﻿田心,102.21,25.81,1890,2020/01/01,10.9
﻿太安,100.04,26.72,2963,2020/01/01,1.1
﻿无量山镇,100.1,24.13,1794,2020/01/01,11.4
﻿弥渡寅街,100.53,25.27,1704,2020/01/01,11.3
﻿洱源西山,99.67,25.97,2537,2020/01/01,6.1
﻿威信,105.05,27.85,1217.7,2020/01/01,5
﻿郎恒,105.58,23.37,759,2020/01/01,16.8
﻿景信,99.67,22.45,1042,2020/01/01,15
﻿落水洞村委会,102.98,25.9,2401,2020/01/01,7.5
﻿勐往乡,100.47,22.39,798,2020/01/01,16.6
﻿通甸 ,99.51,26.66,2488,2020/01/01,2.5
﻿法块,103.6,24.61,1796,2020/01/01,12.4
﻿金庄,99.81,27.15,2000,2020/01/01,6.7
﻿东山,104.26,26.11,1715,2020/01/01,12.8
﻿战河,100.91,26.86,2648,2020/01/01,5
﻿多依,99.92,23.92,1849,2020/01/01,10.2
﻿福贡,98.87,26.9,1189.7,2020/01/01,9.9
﻿沙拉托,102.57,23.1,1698,2020/01/01,13.4
﻿景谷镇,100.62,23.73,1314,2020/01/01,12.7
﻿绿春,102.42,23,1642.8,2020/01/01,14.8
﻿格渣,103.61,24.76,2095,2020/01/01,10
﻿沙依坡,103.21,22.96,1483,2020/01/01,13.9
﻿石鼓,99.95,26.87,1710,2020/01/01,7
﻿象明,101.31,22.13,780,2020/01/01,18
﻿团结和平,102.54,25.07,2119,2020/01/01,8.9
﻿鲁六村,103.07,25.65,2383,2020/01/01,8.9
﻿勐宋,100.56,22.06,1222,2020/01/01,14.9
﻿鲁甸,99.46,27.22,3100,2020/01/01,2.8
﻿光明电站,100.63,21.74,829,2020/01/01,18
﻿圈内乡政府,100.1,23.63,1785,2020/01/01,10.1
﻿罗武庄,100.77,25.11,1800,2020/01/01,11.7
﻿里仕,101.99,24.75,2080,2020/01/01,10.9
﻿五合,98.67,24.87,1360,2020/01/01,10.3
﻿青岗岭,103.74,27.53,1939,2020/01/01,5
﻿海嘎,103.43,25.76,2098,2020/01/01,10
﻿格宜,104.39,26.32,1950,2020/01/01,9.8
﻿富良棚,102.09,24.31,1910,2020/01/01,9.9
﻿营上,104.31,25.48,1850,2020/01/01,12.2
﻿拖克,103.78,26.39,2010,2020/01/01,8.1
